Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Season,Source,Start_Hour,Production
8/19/2022,Friday,231,4,August,Summer,Wind,3,3328
8/25/2021,Wednesday,237,16,August,Summer,Solar,15,8792
6/2/2020,Tuesday,154,22,June,Summer,Wind,21,1541
10/3/2022,Monday,276,20,October,Fall,Wind,19,1114
3/13/2021,Saturday,72,20,March,Spring,Wind,19,12688
2/6/2021,Saturday,37,15,February,Winter,Wind,14,3721
11/11/2021,Thursday,315,5,November,Fall,Wind,4,1034
5/16/2020,Saturday,137,9,May,Spring,Wind,8,1958
10/3/2021,Sunday,276,19,October,Fall,Wind,18,5007
8/9/2021,Monday,221,8,August,Summer,Wind,7,3254
4/1/2020,Wednesday,92,20,April,Spring,Wind,19,2807
3/1/2020,Sunday,61,22,March,Spring,Wind,21,8650
9/1/2021,Wednesday,244,12,September,Fall,Wind,11,9100
5/17/2021,Monday,137,17,May,Spring,Wind,16,14276
6/29/2020,Monday,181,11,June,Summer,Wind,10,6311
7/16/2020,Thursday,198,5,July,Summer,Wind,4,1609
7/10/2020,Friday,192,11,July,Summer,Wind,10,5130
8/17/2022,Wednesday,229,18,August,Summer,Solar,17,3938
10/15/2021,Friday,288,12,October,Fall,Solar,11,3697
9/16/2021,Thursday,259,22,September,Fall,Wind,21,906
1/3/2022,Monday,3,8,January,Winter,Wind,7,9393
2/11/2022,Friday,42,7,February,Winter,Wind,6,3510
3/17/2020,Tuesday,77,17,March,Spring,Solar,16,1386
4/3/2021,Saturday,93,4,April,Spring,Wind,3,8316
12/6/2022,Tuesday,340,23,December,Winter,Wind,22,2228
7/2/2021,Friday,183,10,July,Summer,Solar,9,2578
10/8/2020,Thursday,282,7,October,Fall,Wind,6,7273
6/3/2022,Friday,154,9,June,Summer,Wind,8,3026
12/19/2020,Saturday,354,8,December,Winter,Wind,7,11619
6/5/2020,Friday,157,16,June,Summer,Wind,15,14071
11/7/2022,Monday,311,2,November,Fall,Wind,1,11058
7/25/2021,Sunday,206,8,July,Summer,Wind,7,2997
10/27/2020,Tuesday,301,16,October,Fall,Wind,15,12343
11/22/2021,Monday,326,15,November,Fall,Wind,14,12194
5/26/2020,Tuesday,147,21,May,Spring,Wind,20,4237
5/9/2022,Monday,129,23,May,Spring,Wind,22,429
5/19/2021,Wednesday,139,17,May,Spring,Wind,16,10282
12/23/2021,Thursday,357,14,December,Winter,Wind,13,8130
11/10/2020,Tuesday,315,12,November,Fall,Solar,11,2271
11/2/2021,Tuesday,306,11,November,Fall,Wind,10,5816
6/17/2022,Friday,168,5,June,Summer,Wind,4,2952
2/4/2022,Friday,35,19,February,Winter,Wind,18,8158
9/14/2021,Tuesday,257,22,September,Fall,Wind,21,2262
1/23/2020,Thursday,23,16,January,Winter,Wind,15,3628
3/21/2022,Monday,80,4,March,Spring,Wind,3,3569
6/23/2021,Wednesday,174,20,June,Summer,Wind,19,3674
7/17/2022,Sunday,198,15,July,Summer,Solar,14,8450
8/4/2022,Thursday,216,18,August,Summer,Solar,17,5589
8/1/2020,Saturday,214,7,August,Summer,Wind,6,1772
11/16/2022,Wednesday,320,3,November,Fall,Wind,2,8925
4/24/2022,Sunday,114,5,April,Spring,Wind,4,2970
4/7/2022,Thursday,97,10,April,Spring,Wind,9,16777
7/4/2020,Saturday,186,18,July,Summer,Wind,17,10925
3/13/2022,Sunday,72,15,March,Spring,Wind,14,10288
4/12/2021,Monday,102,4,April,Spring,Wind,3,2639
9/21/2020,Monday,265,20,September,Fall,Wind,19,863
8/2/2020,Sunday,215,11,August,Summer,Wind,10,4638
5/30/2021,Sunday,150,13,May,Spring,Solar,12,7619
1/5/2022,Wednesday,5,12,January,Winter,Wind,11,7302
2/22/2021,Monday,53,16,February,Winter,Wind,15,4198
8/3/2022,Wednesday,215,9,August,Summer,Solar,8,1964
6/27/2021,Sunday,178,16,June,Summer,Solar,15,3989
12/12/2022,Monday,346,5,December,Winter,Wind,4,1213
2/4/2020,Tuesday,35,19,February,Winter,Wind,18,9285
7/19/2021,Monday,200,8,July,Summer,Wind,7,4055
6/22/2022,Wednesday,173,0,June,Summer,Wind,23,1640
6/3/2021,Thursday,154,13,June,Summer,Solar,12,4373
10/16/2021,Saturday,289,22,October,Fall,Wind,21,1291
5/17/2021,Monday,137,7,May,Spring,Wind,6,10597
4/29/2022,Friday,119,0,April,Spring,Wind,23,4848
6/28/2022,Tuesday,179,18,June,Summer,Solar,17,6329
12/3/2021,Friday,337,21,December,Winter,Wind,20,10778
8/15/2020,Saturday,228,18,August,Summer,Solar,17,2825
2/18/2021,Thursday,49,12,February,Winter,Wind,11,11394
2/23/2020,Sunday,54,5,February,Winter,Wind,4,9644
6/3/2022,Friday,154,13,June,Summer,Solar,12,4833
1/14/2022,Friday,14,19,January,Winter,Wind,18,394
4/1/2020,Wednesday,92,13,April,Spring,Solar,12,5453
10/9/2021,Saturday,282,21,October,Fall,Wind,20,3193
12/16/2021,Thursday,350,4,December,Winter,Wind,3,1883
3/10/2020,Tuesday,70,22,March,Spring,Wind,21,11187
8/14/2020,Friday,227,15,August,Summer,Solar,14,4993
1/4/2021,Monday,4,16,January,Winter,Wind,15,2746
9/11/2021,Saturday,254,5,September,Fall,Wind,4,1614
7/13/2022,Wednesday,194,17,July,Summer,Solar,16,6617
1/16/2020,Thursday,16,0,January,Winter,Wind,23,10352
1/5/2021,Tuesday,5,20,January,Winter,Wind,19,1794
5/28/2022,Saturday,148,2,May,Spring,Wind,1,3403
5/4/2022,Wednesday,124,14,May,Spring,Solar,13,5239
6/10/2020,Wednesday,162,8,June,Summer,Wind,7,1447
6/17/2021,Thursday,168,20,June,Summer,Wind,19,1987
10/31/2021,Sunday,304,0,October,Fall,Wind,23,9036
10/1/2020,Thursday,275,15,October,Fall,Wind,14,8906
1/19/2021,Tuesday,19,4,January,Winter,Wind,3,9958
2/12/2021,Friday,43,0,February,Winter,Wind,23,8337
7/29/2022,Friday,210,4,July,Summer,Wind,3,1077
1/13/2022,Thursday,13,13,January,Winter,Solar,12,4756
9/10/2022,Saturday,253,16,September,Fall,Solar,15,8450
9/13/2022,Tuesday,256,5,September,Fall,Wind,4,1837
5/6/2020,Wednesday,127,9,May,Spring,Wind,8,2754
4/29/2022,Friday,119,10,April,Spring,Solar,9,3831
6/14/2022,Tuesday,165,17,June,Summer,Solar,16,5556
1/11/2022,Tuesday,11,17,January,Winter,Wind,16,2881
8/27/2022,Saturday,239,22,August,Summer,Wind,21,3603
2/9/2022,Wednesday,40,21,February,Winter,Wind,20,2904
5/3/2022,Tuesday,123,5,May,Spring,Wind,4,3787
2/18/2020,Tuesday,49,20,February,Winter,Wind,19,8698
2/19/2021,Friday,50,9,February,Winter,Wind,8,6408
12/2/2021,Thursday,336,10,December,Winter,Wind,9,8152
4/22/2020,Wednesday,113,11,April,Spring,Wind,10,2834
3/1/2021,Monday,60,12,March,Spring,Solar,11,5592
5/22/2021,Saturday,142,4,May,Spring,Wind,3,11390
11/6/2022,Sunday,310,0,November,Fall,Wind,23,11081
7/13/2021,Tuesday,194,5,July,Summer,Wind,4,2840
11/19/2022,Saturday,323,21,November,Fall,Wind,20,3605
12/14/2021,Tuesday,348,22,December,Winter,Wind,21,1060
1/20/2020,Monday,20,12,January,Winter,Wind,11,6491
11/30/2022,Wednesday,334,2,November,Fall,Wind,1,1058
6/7/2021,Monday,158,18,June,Summer,Solar,17,3841
10/17/2020,Saturday,291,15,October,Fall,Solar,14,3091
1/12/2022,Wednesday,12,16,January,Winter,Solar,15,3844
7/8/2021,Thursday,189,21,July,Summer,Wind,20,2288
10/15/2020,Thursday,289,13,October,Fall,Wind,12,7056
7/1/2020,Wednesday,183,15,July,Summer,Wind,14,6061
11/11/2021,Thursday,315,7,November,Fall,Wind,6,959
9/17/2022,Saturday,260,21,September,Fall,Wind,20,3268
9/27/2021,Monday,270,11,September,Fall,Wind,10,8562
3/27/2022,Sunday,86,15,March,Spring,Solar,14,6871
10/17/2021,Sunday,290,12,October,Fall,Solar,11,4304
6/9/2022,Thursday,160,17,June,Summer,Solar,16,8567
9/15/2021,Wednesday,258,2,September,Fall,Wind,1,2990
10/25/2021,Monday,298,5,October,Fall,Wind,4,2543
7/6/2020,Monday,188,13,July,Summer,Wind,12,8447
7/24/2021,Saturday,205,3,July,Summer,Wind,2,4812
4/19/2020,Sunday,110,13,April,Spring,Wind,12,3213
5/2/2020,Saturday,123,9,May,Spring,Wind,8,4001
1/21/2020,Tuesday,21,20,January,Winter,Wind,19,3804
7/16/2021,Friday,197,14,July,Summer,Wind,13,7364
4/12/2021,Monday,102,8,April,Spring,Wind,7,2245
2/23/2021,Tuesday,54,18,February,Winter,Wind,17,7943
9/9/2020,Wednesday,253,9,September,Fall,Wind,8,1078
5/15/2020,Friday,136,1,May,Spring,Wind,0,8261
8/25/2022,Thursday,237,12,August,Summer,Solar,11,5849
2/1/2022,Tuesday,32,2,February,Winter,Wind,1,6686
4/4/2022,Monday,94,20,April,Spring,Wind,19,9948
4/5/2020,Sunday,96,12,April,Spring,Wind,11,7848
4/24/2021,Saturday,114,16,April,Spring,Solar,15,8651
6/11/2020,Thursday,163,20,June,Summer,Wind,19,3890
3/29/2020,Sunday,89,16,March,Spring,Wind,15,14055
5/11/2021,Tuesday,131,19,May,Spring,Wind,18,8057
10/15/2021,Friday,288,9,October,Fall,Wind,8,1488
11/12/2022,Saturday,316,19,November,Fall,Wind,18,2917
12/14/2022,Wednesday,348,9,December,Winter,Wind,8,1683
3/9/2020,Monday,69,15,March,Spring,Wind,14,9614
10/11/2022,Tuesday,284,15,October,Fall,Solar,14,4235
5/11/2021,Tuesday,131,10,May,Spring,Wind,9,2573
9/8/2022,Thursday,251,2,September,Fall,Wind,1,3781
9/18/2022,Sunday,261,15,September,Fall,Wind,14,11865
1/10/2022,Monday,10,5,January,Winter,Wind,4,869
2/4/2021,Thursday,35,11,February,Winter,Wind,10,3159
1/6/2020,Monday,6,12,January,Winter,Wind,11,5665
2/19/2021,Friday,50,3,February,Winter,Wind,2,4884
11/30/2020,Monday,335,5,November,Fall,Wind,4,1329
7/9/2021,Friday,190,2,July,Summer,Wind,1,1301
6/8/2021,Tuesday,159,17,June,Summer,Solar,16,4356
4/21/2020,Tuesday,112,21,April,Spring,Wind,20,3274
4/21/2022,Thursday,111,17,April,Spring,Wind,16,6557
1/11/2022,Tuesday,11,13,January,Winter,Solar,12,5018
7/24/2022,Sunday,205,13,July,Summer,Solar,12,7234
9/25/2022,Sunday,268,11,September,Fall,Solar,10,4638
7/23/2022,Saturday,204,3,July,Summer,Wind,2,1704
3/17/2022,Thursday,76,16,March,Spring,Wind,15,5379
3/19/2021,Friday,78,18,March,Spring,Wind,17,11092
8/22/2022,Monday,234,8,August,Summer,Wind,7,1446
8/2/2020,Sunday,215,12,August,Summer,Solar,11,4919
11/8/2021,Monday,312,4,November,Fall,Wind,3,2473
12/30/2021,Thursday,364,15,December,Winter,Wind,14,8402
3/28/2021,Sunday,87,2,March,Spring,Wind,1,3304
9/4/2021,Saturday,247,9,September,Fall,Solar,8,1187
10/22/2020,Thursday,296,2,October,Fall,Wind,1,6104
3/16/2021,Tuesday,75,6,March,Spring,Wind,5,3210
2/13/2022,Sunday,44,8,February,Winter,Wind,7,10043
5/12/2020,Tuesday,133,14,May,Spring,Wind,13,5427
4/1/2020,Wednesday,92,0,April,Spring,Wind,23,4128
9/14/2021,Tuesday,257,23,September,Fall,Wind,22,2561
9/4/2020,Friday,248,22,September,Fall,Wind,21,1897
1/15/2022,Saturday,15,1,January,Winter,Wind,0,769
9/3/2021,Friday,246,3,September,Fall,Wind,2,3215
6/18/2020,Thursday,170,9,June,Summer,Solar,8,1737
9/13/2020,Sunday,257,11,September,Fall,Solar,10,2958
9/17/2020,Thursday,261,11,September,Fall,Wind,10,6865
2/1/2021,Monday,32,5,February,Winter,Wind,4,5164
3/26/2020,Thursday,86,20,March,Spring,Wind,19,4539
7/15/2021,Thursday,196,1,July,Summer,Wind,0,7907
11/21/2021,Sunday,325,4,November,Fall,Wind,3,492
11/30/2021,Tuesday,334,23,November,Fall,Wind,22,12595
8/31/2020,Monday,244,6,August,Summer,Wind,5,2484
7/17/2020,Friday,199,12,July,Summer,Solar,11,4042
1/24/2022,Monday,24,20,January,Winter,Wind,19,1139
3/22/2022,Tuesday,81,8,March,Spring,Wind,7,5751
7/5/2021,Monday,186,0,July,Summer,Wind,23,6836
12/9/2022,Friday,343,16,December,Winter,Wind,15,2659
9/9/2020,Wednesday,253,23,September,Fall,Wind,22,1546
11/4/2022,Friday,308,14,November,Fall,Wind,13,9708
12/9/2022,Friday,343,3,December,Winter,Wind,2,2970
7/4/2021,Sunday,185,22,July,Summer,Wind,21,3113
1/19/2022,Wednesday,19,2,January,Winter,Wind,1,1825
5/8/2020,Friday,129,3,May,Spring,Wind,2,2259
3/31/2022,Thursday,90,21,March,Spring,Wind,20,10066
11/8/2021,Monday,312,18,November,Fall,Wind,17,1805
9/14/2021,Tuesday,257,5,September,Fall,Wind,4,3051
1/20/2022,Thursday,20,4,January,Winter,Wind,3,3366
3/31/2020,Tuesday,91,9,March,Spring,Wind,8,6991
3/31/2022,Thursday,90,0,March,Spring,Wind,23,10020
3/30/2021,Tuesday,89,15,March,Spring,Solar,14,5712
4/26/2020,Sunday,117,3,April,Spring,Wind,2,1632
9/11/2020,Friday,255,16,September,Fall,Solar,15,3415
2/17/2021,Wednesday,48,7,February,Winter,Wind,6,7370
12/11/2021,Saturday,345,20,December,Winter,Wind,19,4204
3/25/2021,Thursday,84,14,March,Spring,Solar,13,4973
5/4/2022,Wednesday,124,15,May,Spring,Solar,14,5436
9/23/2022,Friday,266,4,September,Fall,Wind,3,467
8/12/2020,Wednesday,225,3,August,Summer,Wind,2,2090
7/10/2022,Sunday,191,4,July,Summer,Wind,3,4839
11/14/2020,Saturday,319,4,November,Fall,Wind,3,4792
12/14/2021,Tuesday,348,8,December,Winter,Wind,7,865
12/13/2021,Monday,347,3,December,Winter,Wind,2,1588
12/3/2022,Saturday,337,5,December,Winter,Wind,4,6567
7/23/2020,Thursday,205,20,July,Summer,Wind,19,1584
12/3/2022,Saturday,337,11,December,Winter,Wind,10,6821
8/13/2020,Thursday,226,12,August,Summer,Solar,11,3404
7/16/2022,Saturday,197,20,July,Summer,Wind,19,4533
9/28/2021,Tuesday,271,13,September,Fall,Solar,12,5094
6/25/2020,Thursday,177,23,June,Summer,Wind,22,3604
2/11/2021,Thursday,42,23,February,Winter,Wind,22,7505
10/19/2020,Monday,293,13,October,Fall,Wind,12,5943
12/10/2022,Saturday,344,2,December,Winter,Wind,1,1244
6/29/2021,Tuesday,180,2,June,Summer,Wind,1,1438
11/18/2021,Thursday,322,16,November,Fall,Solar,15,2705
12/2/2022,Friday,336,0,December,Winter,Wind,23,6886
2/19/2021,Friday,50,14,February,Winter,Wind,13,8744
11/9/2021,Tuesday,313,17,November,Fall,Wind,16,1718
12/27/2021,Monday,361,20,December,Winter,Wind,19,11497
9/6/2020,Sunday,250,10,September,Fall,Solar,9,2232
3/6/2020,Friday,66,17,March,Spring,Wind,16,7144
5/21/2021,Friday,141,7,May,Spring,Wind,6,8861
5/3/2020,Sunday,124,4,May,Spring,Wind,3,1990
10/22/2021,Friday,295,1,October,Fall,Wind,0,2121
2/27/2022,Sunday,58,3,February,Winter,Wind,2,10058
2/10/2020,Monday,41,3,February,Winter,Wind,2,10463
8/19/2020,Wednesday,232,12,August,Summer,Solar,11,5666
4/20/2021,Tuesday,110,14,April,Spring,Solar,13,4222
9/18/2021,Saturday,261,17,September,Fall,Solar,16,3382
12/22/2021,Wednesday,356,12,December,Winter,Wind,11,4682
5/8/2021,Saturday,128,9,May,Spring,Wind,8,6432
3/11/2020,Wednesday,71,2,March,Spring,Wind,1,11294
8/8/2020,Saturday,221,23,August,Summer,Wind,22,2127
7/13/2022,Wednesday,194,2,July,Summer,Wind,1,1356
2/13/2021,Saturday,44,4,February,Winter,Wind,3,7839
10/3/2021,Sunday,276,15,October,Fall,Wind,14,9685
10/14/2021,Thursday,287,21,October,Fall,Wind,20,1180
5/10/2021,Monday,130,6,May,Spring,Wind,5,8241
8/27/2022,Saturday,239,18,August,Summer,Solar,17,5514
7/8/2020,Wednesday,190,19,July,Summer,Wind,18,4796
3/14/2021,Sunday,73,0,March,Spring,Wind,23,9883
6/16/2020,Tuesday,168,14,June,Summer,Solar,13,4062
11/30/2021,Tuesday,334,6,November,Fall,Wind,5,10062
8/12/2021,Thursday,224,13,August,Summer,Solar,12,3923
1/23/2020,Thursday,23,5,January,Winter,Wind,4,5821
6/15/2021,Tuesday,166,15,June,Summer,Solar,14,4881
7/24/2021,Saturday,205,20,July,Summer,Wind,19,4294
10/24/2020,Saturday,298,7,October,Fall,Wind,6,7495
10/11/2021,Monday,284,15,October,Fall,Solar,14,6763
5/9/2021,Sunday,129,17,May,Spring,Wind,16,10954
10/3/2020,Saturday,277,17,October,Fall,Wind,16,6727
11/9/2020,Monday,314,0,November,Fall,Wind,23,1310
3/15/2021,Monday,74,2,March,Spring,Wind,1,10033
3/20/2022,Sunday,79,1,March,Spring,Wind,0,7379
3/31/2021,Wednesday,90,1,March,Spring,Wind,0,1894
7/9/2021,Friday,190,13,July,Summer,Solar,12,4676
8/26/2022,Friday,238,19,August,Summer,Wind,18,4553
4/19/2022,Tuesday,109,1,April,Spring,Wind,0,3317
1/7/2021,Thursday,7,22,January,Winter,Wind,21,1503
9/29/2020,Tuesday,273,18,September,Fall,Wind,17,2166
9/8/2022,Thursday,251,3,September,Fall,Wind,2,3667
6/13/2022,Monday,164,10,June,Summer,Solar,9,4202
3/31/2020,Tuesday,91,18,March,Spring,Wind,17,10262
9/21/2020,Monday,265,23,September,Fall,Wind,22,1389
5/11/2022,Wednesday,131,10,May,Spring,Solar,9,5589
8/5/2022,Friday,217,10,August,Summer,Solar,9,4682
8/20/2022,Saturday,232,3,August,Summer,Wind,2,2735
8/22/2021,Sunday,234,18,August,Summer,Wind,17,7820
12/10/2022,Saturday,344,19,December,Winter,Wind,18,1720
4/7/2022,Thursday,97,22,April,Spring,Wind,21,13300
10/6/2022,Thursday,279,3,October,Fall,Wind,2,3635
4/19/2020,Sunday,110,3,April,Spring,Wind,2,1626
4/5/2022,Tuesday,95,21,April,Spring,Wind,20,6779
3/21/2022,Monday,80,23,March,Spring,Wind,22,5004
5/2/2022,Monday,122,5,May,Spring,Wind,4,2262
4/6/2022,Wednesday,96,18,April,Spring,Wind,17,13616
4/1/2021,Thursday,91,19,April,Spring,Wind,18,5963
2/2/2022,Wednesday,33,23,February,Winter,Wind,22,2497
4/24/2022,Sunday,114,10,April,Spring,Wind,9,3471
4/8/2022,Friday,98,20,April,Spring,Wind,19,9607
8/5/2020,Wednesday,218,18,August,Summer,Solar,17,3923
4/19/2022,Tuesday,109,21,April,Spring,Wind,20,3533
6/22/2021,Tuesday,173,6,June,Summer,Wind,5,3765
10/17/2020,Saturday,291,18,October,Fall,Solar,17,1367
6/21/2022,Tuesday,172,11,June,Summer,Solar,10,3739
8/13/2022,Saturday,225,20,August,Summer,Wind,19,2149
1/2/2021,Saturday,2,21,January,Winter,Wind,20,1679
3/19/2021,Friday,78,0,March,Spring,Wind,23,6376
6/21/2021,Monday,172,5,June,Summer,Wind,4,2933
2/16/2022,Wednesday,47,7,February,Winter,Wind,6,14791
10/17/2022,Monday,290,0,October,Fall,Wind,23,1788
3/10/2021,Wednesday,69,5,March,Spring,Wind,4,2462
7/6/2020,Monday,188,20,July,Summer,Wind,19,5022
6/28/2020,Sunday,180,8,June,Summer,Wind,7,4110
11/12/2021,Friday,316,21,November,Fall,Wind,20,5645
2/27/2021,Saturday,58,16,February,Winter,Wind,15,11231
12/31/2021,Friday,365,17,December,Winter,Wind,16,3613
4/28/2021,Wednesday,118,17,April,Spring,Wind,16,4670
5/7/2021,Friday,127,6,May,Spring,Wind,5,4193
11/10/2022,Thursday,314,13,November,Fall,Solar,12,6135
3/27/2020,Friday,87,12,March,Spring,Solar,11,5430
8/11/2021,Wednesday,223,17,August,Summer,Solar,16,4361
4/1/2020,Wednesday,92,19,April,Spring,Wind,18,3212
6/13/2021,Sunday,164,12,June,Summer,Solar,11,5434
6/6/2021,Sunday,157,10,June,Summer,Solar,9,3448
4/15/2020,Wednesday,106,22,April,Spring,Wind,21,4276
10/29/2022,Saturday,302,15,October,Fall,Wind,14,8339
11/7/2020,Saturday,312,18,November,Fall,Wind,17,4005
9/21/2022,Wednesday,264,7,September,Fall,Wind,6,2953
8/23/2021,Monday,235,22,August,Summer,Wind,21,5030
4/29/2021,Thursday,119,20,April,Spring,Wind,19,1611
6/16/2021,Wednesday,167,6,June,Summer,Wind,5,1216
1/18/2022,Tuesday,18,15,January,Winter,Wind,14,5366
2/20/2020,Thursday,51,4,February,Winter,Wind,3,6055
3/20/2021,Saturday,79,16,March,Spring,Wind,15,8518
4/24/2021,Saturday,114,15,April,Spring,Solar,14,8869
3/30/2020,Monday,90,18,March,Spring,Wind,17,11834
10/29/2020,Thursday,303,8,October,Fall,Wind,7,7293
11/18/2022,Friday,322,5,November,Fall,Wind,4,8483
4/5/2020,Sunday,96,20,April,Spring,Wind,19,5420
1/13/2022,Thursday,13,0,January,Winter,Wind,23,2357
12/13/2020,Sunday,348,3,December,Winter,Wind,2,4511
6/19/2022,Sunday,170,18,June,Summer,Wind,17,10557
11/20/2021,Saturday,324,14,November,Fall,Solar,13,2574
3/28/2022,Monday,87,18,March,Spring,Solar,17,3266
8/8/2021,Sunday,220,12,August,Summer,Wind,11,8911
10/7/2020,Wednesday,281,4,October,Fall,Wind,3,8655
1/18/2021,Monday,18,22,January,Winter,Wind,21,6792
3/31/2021,Wednesday,90,17,March,Spring,Solar,16,4327
3/17/2021,Wednesday,76,9,March,Spring,Wind,8,8680
6/20/2021,Sunday,171,4,June,Summer,Wind,3,4138
1/9/2020,Thursday,9,11,January,Winter,Wind,10,11398
8/12/2022,Friday,224,11,August,Summer,Solar,10,5386
2/13/2022,Sunday,44,18,February,Winter,Wind,17,14832
5/18/2022,Wednesday,138,19,May,Spring,Solar,18,3520
2/17/2021,Wednesday,48,4,February,Winter,Wind,3,8003
5/27/2020,Wednesday,148,3,May,Spring,Wind,2,4422
10/22/2022,Saturday,295,11,October,Fall,Wind,10,5156
5/17/2021,Monday,137,12,May,Spring,Wind,11,14827
2/8/2022,Tuesday,39,21,February,Winter,Wind,20,2993
8/25/2020,Tuesday,238,14,August,Summer,Wind,13,12268
7/17/2022,Sunday,198,0,July,Summer,Wind,23,4351
2/11/2020,Tuesday,42,13,February,Winter,Wind,12,14172
12/14/2022,Wednesday,348,2,December,Winter,Wind,1,2247
2/5/2021,Friday,36,11,February,Winter,Wind,10,2191
6/16/2022,Thursday,167,18,June,Summer,Solar,17,4281
5/29/2022,Sunday,149,8,May,Spring,Wind,7,4550
4/25/2020,Saturday,116,21,April,Spring,Wind,20,2097
1/5/2020,Sunday,5,23,January,Winter,Wind,22,2038
10/10/2020,Saturday,284,6,October,Fall,Wind,5,2441
2/26/2022,Saturday,57,4,February,Winter,Wind,3,2782
2/5/2022,Saturday,36,9,February,Winter,Wind,8,3587
11/15/2021,Monday,319,18,November,Fall,Wind,17,2689
6/1/2022,Wednesday,152,6,June,Summer,Wind,5,1109
9/23/2022,Friday,266,17,September,Fall,Solar,16,2307
1/16/2022,Sunday,16,14,January,Winter,Solar,13,5824
11/30/2022,Wednesday,334,22,November,Fall,Wind,21,4124
12/3/2020,Thursday,338,10,December,Winter,Wind,9,6349
4/7/2020,Tuesday,98,22,April,Spring,Wind,21,2745
8/7/2022,Sunday,219,11,August,Summer,Solar,10,7935
6/25/2021,Friday,176,20,June,Summer,Solar,19,2096
6/23/2020,Tuesday,175,12,June,Summer,Solar,11,4697
7/23/2022,Saturday,204,10,July,Summer,Solar,9,2822
12/4/2020,Friday,339,14,December,Winter,Wind,13,6709
6/9/2021,Wednesday,160,10,June,Summer,Solar,9,3042
6/17/2020,Wednesday,169,0,June,Summer,Wind,23,1323
6/3/2022,Friday,154,18,June,Summer,Solar,17,4573
4/2/2021,Friday,92,20,April,Spring,Wind,19,11290
12/2/2020,Wednesday,337,17,December,Winter,Wind,16,1851
4/14/2022,Thursday,104,20,April,Spring,Wind,19,1781
3/30/2021,Tuesday,89,2,March,Spring,Wind,1,3452
10/5/2022,Wednesday,278,22,October,Fall,Wind,21,7414
2/18/2022,Friday,49,7,February,Winter,Wind,6,12932
4/22/2021,Thursday,112,14,April,Spring,Solar,13,8561
3/2/2020,Monday,62,13,March,Spring,Wind,12,6340
11/25/2022,Friday,329,8,November,Fall,Wind,7,4833
8/27/2020,Thursday,240,6,August,Summer,Wind,5,945
5/27/2022,Friday,147,4,May,Spring,Wind,3,3346
7/16/2020,Thursday,198,10,July,Summer,Wind,9,2804
2/22/2021,Monday,53,0,February,Winter,Wind,23,4694
3/24/2022,Thursday,83,11,March,Spring,Solar,10,5742
4/1/2022,Friday,91,5,April,Spring,Wind,4,8994
1/3/2020,Friday,3,20,January,Winter,Wind,19,5509
1/15/2021,Friday,15,21,January,Winter,Wind,20,2548
2/17/2021,Wednesday,48,18,February,Winter,Wind,17,5347
10/27/2021,Wednesday,300,19,October,Fall,Wind,18,1751
3/11/2020,Wednesday,71,12,March,Spring,Wind,11,11831
7/30/2021,Friday,211,9,July,Summer,Wind,8,4587
7/2/2020,Thursday,184,20,July,Summer,Wind,19,5651
11/4/2020,Wednesday,309,18,November,Fall,Wind,17,2833
1/27/2021,Wednesday,27,5,January,Winter,Wind,4,5765
12/6/2020,Sunday,341,14,December,Winter,Wind,13,3698
6/15/2021,Tuesday,166,18,June,Summer,Solar,17,3387
4/15/2021,Thursday,105,4,April,Spring,Wind,3,4872
5/7/2022,Saturday,127,12,May,Spring,Solar,11,6711
8/13/2020,Thursday,226,20,August,Summer,Wind,19,3179
9/15/2021,Wednesday,258,13,September,Fall,Solar,12,3974
10/2/2021,Saturday,275,22,October,Fall,Wind,21,13716
5/13/2020,Wednesday,134,22,May,Spring,Wind,21,7166
8/6/2020,Thursday,219,7,August,Summer,Wind,6,1190
6/25/2020,Thursday,177,19,June,Summer,Solar,18,2597
2/11/2021,Thursday,42,18,February,Winter,Wind,17,7678
5/13/2022,Friday,133,1,May,Spring,Wind,0,2469
7/21/2022,Thursday,202,18,July,Summer,Solar,17,4813
7/20/2020,Monday,202,15,July,Summer,Solar,14,5919
10/4/2022,Tuesday,277,3,October,Fall,Wind,2,1193
7/28/2020,Tuesday,210,18,July,Summer,Wind,17,6769
8/14/2022,Sunday,226,14,August,Summer,Solar,13,5954
3/20/2021,Saturday,79,4,March,Spring,Wind,3,5321
9/23/2022,Friday,266,5,September,Fall,Wind,4,505
7/27/2021,Tuesday,208,12,July,Summer,Solar,11,4459
12/14/2021,Tuesday,348,15,December,Winter,Solar,14,2491
1/7/2022,Friday,7,21,January,Winter,Wind,20,9790
3/5/2022,Saturday,64,9,March,Spring,Wind,8,2833
2/9/2022,Wednesday,40,20,February,Winter,Wind,19,2468
5/29/2021,Saturday,149,6,May,Spring,Wind,5,2581
5/12/2022,Thursday,132,18,May,Spring,Solar,17,4492
10/23/2020,Friday,297,1,October,Fall,Wind,0,3122
2/20/2020,Thursday,51,9,February,Winter,Wind,8,7848
8/19/2022,Friday,231,2,August,Summer,Wind,1,3854
5/31/2020,Sunday,152,16,May,Spring,Wind,15,6989
11/15/2022,Tuesday,319,7,November,Fall,Wind,6,8670
4/24/2021,Saturday,114,1,April,Spring,Wind,0,8166
6/12/2021,Saturday,163,15,June,Summer,Solar,14,4527
12/9/2021,Thursday,343,22,December,Winter,Wind,21,10164
9/2/2021,Thursday,245,2,September,Fall,Wind,1,6519
